id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345640,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345640,PL,139,10,2023,"Inscreve o nome de Edson Arantes do Nascimento, o Pelé, no Livro dos Heróis e Heroínas da Pátria.",2023-02-02T09:00
2345641,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345641,PL,139,11,2023,"Altera o art. 26 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional)",2023-02-02T09:00
2345643,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345643,PL,139,12,2023,Dispõe sobre o Protocolo de Segurança para prevenção e identificação da prática de atos que atentem contra a liberdade sexual da mulher em locais de lazer e outros estabelecimentos destinados ao entretenimento.,2023-02-02T09:00
2345645,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345645,PL,139,13,2023,"Inscreve o nome de Edson Arantes do Nascimento, o Pelé, no Livro dos Heróis e Heroínas da Pátria.",2023-02-02T09:00
2345646,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345646,PL,139,14,2023,Cria o Protocolo de Apoio às Pessoas Vítimas de Violência Sexual em Eventos e Estabelecimentos Comerciais.,2023-02-02T09:00
2345648,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345648,PL,139,15,2023,"Inscreve o nome de Edson Arantes do Nascimento, o Pelé, no Livro dos Heróis e Heroínas da Pátria.",2023-02-02T09:01
2345649,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345649,PL,139,16,2023,Dispõe sobre a responsabilidade democrática de instituições financeiras oficiais.,2023-02-02T09:01
2345650,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345650,PL,139,17,2023,"Altera a Lei nº 13.303, de 30 de junho de 2016, para garantir o respeito à cláusula Democrática e aos Direitos Humanos em países que recebam aportes financeiros de empresas públicas e sociedade de economia mista e de suas subsidiárias, no âmbito da União, dos Estados, do Distrito Federal e dos Municípios.",2023-02-02T09:01
2345653,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345653,PL,139,18,2023,Institui o Cadastro Nacional de Pesquisa em Drogas Experimentais para o Tratamento do Câncer – Banco Nacional de Combate ao Câncer.,2023-02-02T09:01
2345655,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345655,PL,139,19,2023,"Dispõe sobre a inscrição do nome de Edson Arantes do Nascimento, Pelé, no Livro dos Heróis e Heroínas da Pátria.",2023-02-02T09:01
2345658,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345658,PL,139,20,2023,"Altera a Lei nº 8.989, de 24 de fevereiro de 1995, para reduzir para um ano o prazo mínimo de renovação da isenção de IPI para aquisição de táxi.",2023-02-02T09:01
2345660,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345660,PL,139,21,2023,"""Institui o dia nacional de defesa da democracia.""",2023-02-02T09:01
2345661,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345661,PL,139,22,2023,Inclui as despesas com profissionais de educação física entre as deduções autorizadas para fins de base de cálculo do imposto de renda de pessoa física.,2023-02-02T09:01
2345663,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345663,PL,139,23,2023,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, Estatuto do Desarmamento, para proibir o porte de arma dos agentes públicos que enumera quando do consumo de bebidas alcoólicas ou substâncias químicas ou entorpecentes.",2023-02-02T09:01
2345665,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345665,PL,139,24,2023,"Altera a Lei nº 13.812, de 2019, para dispor que prestadoras de serviços de telecomunicações e provedores de aplicações de internet participem de sistema de alertas urgentes sobre crianças e adolescentes desaparecidos.",2023-02-02T09:02
