termo,tfidf
inteligência artificial,0.2798127744912875
tecnologia,0.20301726632222938
sustentabilidade,0.2
água,0.1661761496715976
ambiental,0.1414213562373095
licenciamento,0.1414213562373095
ambiente,0.13803185325779266
clima,0.11360281548656032
incêndio,0.11360281548656032
